,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
266,,2021053105001094,,SHL,14,48,100,243.0,24300.0,2021-05-31,30127286,147,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.126098,Soaltee Hotel Limited
267,,2021053105001093,,SHL,47,48,150,243.0,36450.0,2021-05-31,30127284,147,Neev Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.125542,Soaltee Hotel Limited
268,,2021053105001092,,SHL,55,48,100,243.0,24300.0,2021-05-31,30127282,147,Bhrikuti Stock Broking Co. Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.124944,Soaltee Hotel Limited
269,,2021053105001091,,SHL,25,48,100,243.0,24300.0,2021-05-31,30127280,147,Sweta Securities Private Limited,Trishakti Securities Public Limited,2021-05-31T13:56:10.124073,Soaltee Hotel Limited
270,,2021053105001090,,SHL,58,51,260,244.0,63440.0,2021-05-31,30126428,147,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T13:55:05.369637,Soaltee Hotel Limited
271,,2021053105001089,,SHL,58,6,150,244.0,36600.0,2021-05-31,30126425,147,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,2021-05-31T13:55:05.368829,Soaltee Hotel Limited
272,,2021053105001088,,KLBSL,56,22,15,1662.0,24930.0,2021-05-31,30125923,694,Sri Hari Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2021-05-31T13:54:29.394011,Kisan Lagubitta Bittiya Sanstha Limited
273,,2021053105001087,,SHL,20,6,150,244.0,36600.0,2021-05-31,30125418,147,Sipla Securities Private Limited,Agrawal Securities (PVT) Ltd.,2021-05-31T13:53:34.588489,Soaltee Hotel Limited
274,,2021053105001086,,SHL,20,29,300,244.0,73200.0,2021-05-31,30125415,147,Sipla Securities Private Limited,Trisul Securities & Invt. Ltd.,2021-05-31T13:53:34.587913,Soaltee Hotel Limited
275,,2021053105001085,,SHL,20,45,350,244.0,85400.0,2021-05-31,30125413,147,Sipla Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2021-05-31T13:53:34.587381,Soaltee Hotel Limited
276,,2021053105001084,,SHL,20,48,200,244.0,48800.0,2021-05-31,30125411,147,Sipla Securities Private Limited,Trishakti Securities Public Limited,2021-05-31T13:53:34.58663,Soaltee Hotel Limited
277,,2021053105001083,,SHL,49,48,100,244.0,24400.0,2021-05-31,30125090,147,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:53:06.899621,Soaltee Hotel Limited
278,,2021053105001082,,SHL,45,48,100,244.0,24400.0,2021-05-31,30124820,147,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:52:54.591201,Soaltee Hotel Limited
